<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[52, 0.4896049896049896, 0.4730290456431535, 40, 'tournament_selection', 'crossover_weight', 0.9263084250568215, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1067530473859095, 0.033248050762616416, 7531.001250015751],2.444227104584816
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[53, 0.49376299376299376, 0.45228215767634855, 40, 'tournament_selection', 'crossover_weight', 0.9269488194894421, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1040590112043407, -0.029183112065306938, 7636.782982471959],2.469311586692412
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[54, 0.4979209979209979, 0.44813278008298757, 40, 'tournament_selection', 'crossover_weight', 0.9237295256383063, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1172480504772988, 0.010887297675690917, 7822.676029833909],2.499053238748341
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[55, 0.5124740124740125, 0.4854771784232365, 40, 'tournament_selection', 'crossover_weight', 0.9248298177220691, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1120675879418191, -0.005649308992158396, 6888.182670963879],2.5303465319877474
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[56, 0.5124740124740125, 0.4854771784232365, 40, 'tournament_selection', 'crossover_weight', 0.9253672272099646, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1096606605949069, 0.00440488348847505, 7207.57434275265],2.546781077227293
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[57, 0.5124740124740125, 0.4854771784232365, 40, 'tournament_selection', 'crossover_weight', 0.926971827350146, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1026415187832819, 0.0040209553291097044, 7363.573024654551],2.5668806811830116
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[58, 0.5124740124740125, 0.4854771784232365, 40, 'tournament_selection', 'crossover_weight', 0.9277029064858054, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0996527772418607, -0.005404545131590104, 7829.354728338599],2.5838410380039436
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[59, 0.5124740124740125, 0.4854771784232365, 40, 'tournament_selection', 'crossover_weight', 0.9285897404904345, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0961325347841153, -0.0015214502295830545, 8041.571639460619],2.604071329387425
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[60, 0.5124740124740125, 0.4854771784232365, 40, 'tournament_selection', 'crossover_weight', 0.9289167027506976, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0948789593232227, 0.0045440454070828015, 8299.000916211351],2.6216754723792084
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[61, 0.5124740124740125, 0.4854771784232365, 40, 'tournament_selection', 'crossover_weight', 0.9300317082997037, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.090657191282584, 0.012752815662046252, 8393.911189999884],2.6420813633487508
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[62, 0.5166320166320166, 0.4730290456431535, 40, 'tournament_selection', 'crossover_weight', 0.9254066755087168, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1074538557382567, -0.024045644297830356, 8717.57387157891],2.6566012175695115
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[63, 0.5166320166320166, 0.4730290456431535, 40, 'tournament_selection', 'crossover_weight', 0.9245083736634435, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.11136947170235, -0.005882346034371377, 7375.024036866347],2.6633423049380185
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[64, 0.5166320166320166, 0.4730290456431535, 40, 'tournament_selection', 'crossover_weight', 0.9267611161402879, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1011540683844778, 0.043365783690752883, 7114.265886947092],2.680500158009098
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[65, 0.5166320166320166, 0.4730290456431535, 40, 'tournament_selection', 'crossover_weight', 0.9274244008413683, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0984248150780644, -0.03197687496054872, 7768.189691732036],2.6882117150343667
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[66, 0.5166320166320166, 0.4730290456431535, 40, 'tournament_selection', 'crossover_weight', 0.9310670485707389, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0838349807124115, 0.0049741403033694565, 7960.727303041149],2.701813424879181
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[67, 0.5166320166320166, 0.4730290456431535, 40, 'tournament_selection', 'crossover_weight', 0.9283064758445178, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0934657806278472, 0.003459408048639652, 9018.111396946995],2.724725579824815
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[68, 0.5166320166320166, 0.4730290456431535, 40, 'tournament_selection', 'crossover_weight', 0.9235921576908712, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1116769687966617, -0.026018092614952963, 8216.775141661901],2.7316188741194116
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[69, 0.5166320166320166, 0.4730290456431535, 40, 'tournament_selection', 'crossover_weight', 0.9236707075285892, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1113068371341068, 0.021577141863067972, 6848.307642297415],2.738795453051492
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[70, 0.5166320166320166, 0.4730290456431535, 40, 'tournament_selection', 'crossover_weight', 0.9235799513336711, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1117329248621683, -0.016608978989960325, 6871.109009641334],2.7535374038135223
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[71, 0.5166320166320166, 0.4730290456431535, 40, 'tournament_selection', 'crossover_weight', 0.9250862768050833, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1046309949284279, 0.0009351284629084342, 6844.764393290988],2.7706605817648393
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[72, 0.5207900207900208, 0.4854771784232365, 40, 'tournament_selection', 'crossover_weight', 0.9258222025193322, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.101390472788612, 0.0021068303485729453, 7282.019025649219],2.7731400215243873
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[73, 0.5207900207900208, 0.4854771784232365, 40, 'tournament_selection', 'crossover_weight', 0.9269498941291772, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0965805469335383, 0.007217472406983685, 7495.642796695997],2.796374264923817
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[74, 0.5207900207900208, 0.4854771784232365, 40, 'tournament_selection', 'crossover_weight', 0.9282152549997881, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.091431843532657, 0.00513906961241891, 7822.987975167903],2.8086016738681976
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[75, 0.5207900207900208, 0.4854771784232365, 40, 'tournament_selection', 'crossover_weight', 0.9291318517967739, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0878862334294772, -0.006276538672317991, 8190.295647234802],2.8249752007731948
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[76, 0.5207900207900208, 0.4854771784232365, 40, 'tournament_selection', 'crossover_weight', 0.9278495467964569, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0926748131827808, -0.0010447289880005442, 8456.364437209562],2.840096135067609
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[77, 0.5207900207900208, 0.49377593360995853, 40, 'tournament_selection', 'crossover_weight', 0.9283941011411653, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.090538258425819, 0.002084701047561796, 8084.1382403312],2.8652039484200285
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[78, 0.5207900207900208, 0.49377593360995853, 40, 'tournament_selection', 'crossover_weight', 0.9282382514344465, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.091136833696423, 0.006368532792841698, 8242.210924033006],2.883101088647491
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[79, 0.5207900207900208, 0.49377593360995853, 40, 'tournament_selection', 'crossover_weight', 0.9246713381265775, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.104919523116314, -0.01480888725469573, 8196.971028998523],2.8949650372535367
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[80, 0.5228690228690228, 0.48132780082987553, 40, 'tournament_selection', 'crossover_weight', 0.9248827696995857, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1039726151228306, 0.013022558586618223, 7161.571046268541],2.9320959402934434
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[81, 0.5311850311850311, 0.4854771784232365, 40, 'tournament_selection', 'crossover_weight', 0.9221523602009317, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1160866094690287, -0.014903006322261943, 7222.945189160736],2.9422030824455447
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[82, 0.5405405405405406, 0.5311203319502075, 40, 'tournament_selection', 'crossover_weight', 0.9233058040964917, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.110275295121792, 0.006108879957929789, 6430.3646850269815],2.9428289372806744
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[83, 0.5405405405405406, 0.5311203319502075, 40, 'tournament_selection', 'crossover_weight', 0.9240433361718509, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1067617341253941, 0.007545390106692522, 6765.18521091645],2.967495706777803
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[84, 0.5405405405405406, 0.5311203319502075, 40, 'tournament_selection', 'crossover_weight', 0.9239276884867139, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.107294083012566, -0.00017810703047439758, 6979.275274839521],2.977286590569504
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[85, 0.5405405405405406, 0.5311203319502075, 40, 'tournament_selection', 'crossover_weight', 0.9251651644719954, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.10156745447871, 0.010684493195204092, 6945.705181916478],2.993273524632714
