<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[29, 0.34303534303534305, 0.34024896265560167, 40, 'tournament_selection', 'crossover_weight', 0.9310934564130047, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0969028039517832, 0.0029591414518733775, 9466.20859153805],1.8644510732562691
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[30, 0.34303534303534305, 0.34024896265560167, 40, 'tournament_selection', 'crossover_weight', 0.9328127066561931, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0908377001325131, 0.00037816123496058063, 9392.981622500847],1.8834515893548271
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[31, 0.34303534303534305, 0.34024896265560167, 40, 'tournament_selection', 'crossover_weight', 0.9348992891752319, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0839009883883284, -0.008426491839833086, 9912.347682171048],1.9112491608142148
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[32, 0.34303534303534305, 0.33195020746887965, 40, 'tournament_selection', 'crossover_weight', 0.9333935938822474, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0885773719332281, 0.009080608488144674, 10542.68066911315],1.9374660479296597
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[33, 0.34303534303534305, 0.33195020746887965, 40, 'tournament_selection', 'crossover_weight', 0.9357830916091141, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.08078799423125, -0.005140296281620507, 10087.827145328825],1.9588408773406956
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[34, 0.34303534303534305, 0.33195020746887965, 40, 'tournament_selection', 'crossover_weight', 0.9369771004901875, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0771816248382238, -0.005112856244295021, 10809.66739162832],1.978876274190823
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[35, 0.3596673596673597, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.9358053367764388, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0805950951330001, 0.011988976451800554, 11170.363974473776],2.014364908911031
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[36, 0.3596673596673597, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.9331317649775014, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0886638603856673, 0.0048644903516072285, 10816.387405160938],2.0407877750351955
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[37, 0.3596673596673597, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.9304592256839895, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.097445453959939, -0.010342274907839503, 10008.731593587898],2.0700070294320114
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[38, 0.3700623700623701, 0.35269709543568467, 40, 'tournament_selection', 'crossover_weight', 0.9308994050531615, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0958594883394188, 0.0016866758800935452, 9201.387690229838],2.094455389575849
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[39, 0.3700623700623701, 0.35269709543568467, 40, 'tournament_selection', 'crossover_weight', 0.9312616972204963, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0945746049947658, 0.018656451374523354, 9334.360900744543],2.116157508713186
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[40, 0.3700623700623701, 0.35269709543568467, 40, 'tournament_selection', 'crossover_weight', 0.9329985839321553, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0884931946576193, -0.020337460774213827, 9443.805268220176],2.1422397184426316
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[41, 0.38461538461538464, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.9329055233598086, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0888001647988184, 0.03127821331858846, 9968.499105607605],2.155911672696663
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[42, 0.38461538461538464, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.9300276986212145, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0983225055176733, -0.04054213094928093, 9940.38655889615],2.17407153878584
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[43, 0.38461538461538464, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.930001636944245, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0984178312591106, -0.001713026789773902, 9071.028243649891],2.2126634760260573
