<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[29, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.16569331881168065, 1.01, 0.011005460196725936, 11418.292755548964],1.9698560126775275
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[30, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.16735025199979744, 1.01, -0.022024636049891938, 11664.405607276649],1.9796521239869969
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[31, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.16902375451979543, 1.01, 0.028634180688096943, 11667.862188114254],1.9958209028670972
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[32, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.17071399206499338, 1.01, -0.013818936650253973, 11304.796446624146],2.0109943181009253
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[33, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.17242113198564332, 1.01, -0.005731878940298855, 11038.070326782972],2.039855256772123
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[34, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.17414534330549974, 1.01, -0.005433401616477478, 9931.117431430735],2.060454883439105
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[35, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.17588679673855476, 1.01, -0.0003056202349254952, 9662.624834231703],2.072894505241764
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[36, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.17764566470594031, 1.01, -0.004277044288975608, 9420.84357940006],2.0943050625809305
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[37, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.17942212135299973, 1.01, 0.008474012219879569, 8899.058087019277],2.111584984910831
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[38, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.18121634256652974, 1.01, -0.0023268712883431977, 9547.47196974095],2.1365985068710764
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[39, 0.3711018711018711, 0.37344398340248963, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.18302850599219503, 1.01, -0.0030669357594464014, 9554.848923322284],2.159593872243614
