<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[22, 0.3523908523908524, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.005228907044445008, 8357.685097581889],1.554717909370922
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[23, 0.3523908523908524, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.0018608508302033339, 8818.59196670433],1.5681017584032726
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[24, 0.3523908523908524, 0.35684647302904565, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.005278897380150367, 9561.673565479392],1.59524105581463
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[25, 0.3523908523908524, 0.35684647302904565, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.0011221508315158515, 10032.294749793416],1.6110612811310927
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[26, 0.3523908523908524, 0.35684647302904565, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.006361204396269159, 10248.416171061246],1.6387927699764493
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[27, 0.3523908523908524, 0.35684647302904565, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.003605462073177343, 8793.541575310002],1.6399461193352889
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[28, 0.3523908523908524, 0.35684647302904565, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.02110963621444531, 10069.720369689487],1.6822599477088338
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[29, 0.3523908523908524, 0.35684647302904565, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.01934014582415315, 10174.523390780265],1.709686626773959
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[30, 0.3523908523908524, 0.35684647302904565, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.009063114635202749, 10664.544914307642],1.7305339123738572
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[31, 0.3523908523908524, 0.35684647302904565, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.0010235972348008257, 10691.388466361206],1.7228122749311374
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[32, 0.3523908523908524, 0.35684647302904565, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.0008775888560775338, 10332.492033082253],1.7147064240014898
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[33, 0.3523908523908524, 0.35684647302904565, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.0033523199257508435, 7598.839377794847],1.671203134801703
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[34, 0.3523908523908524, 0.35684647302904565, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.006132044645920626, 6451.750819204722],1.6606097312105679
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[35, 0.3523908523908524, 0.35684647302904565, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.015004559460070073, 6489.5118671705395],1.6657020662764657
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[36, 0.3523908523908524, 0.35684647302904565, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.004284052613340937, 7955.828744285686],1.6835891363052007
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[37, 0.3523908523908524, 0.35684647302904565, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.009718851193883056, 8074.206245621099],1.6847880106785649
