<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[35, 0.3575883575883576, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.93672846325798, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0777783809179748, 0.0006519623511449975, 10745.327145106532],2.120225672026047
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[36, 0.36486486486486486, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.9366140037699434, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0781142565597903, 0.010532314536807013, 11070.65892051412],2.150550379888997
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[37, 0.36694386694386694, 0.3236514522821577, 40, 'tournament_selection', 'crossover_weight', 0.9294611278408857, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0991761911216995, 0.022793077631789033, 11036.158649066088],2.1544427620717546
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[38, 0.36694386694386694, 0.3236514522821577, 40, 'tournament_selection', 'crossover_weight', 0.9287592164945767, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1017949783056389, -0.028769689405859056, 8880.145500485789],2.151530568419339
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[39, 0.36694386694386694, 0.3236514522821577, 40, 'tournament_selection', 'crossover_weight', 0.9304146850736316, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.09545270897612, 0.043248026272819415, 8668.576041321485],2.16831892385908
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[40, 0.36694386694386694, 0.3236514522821577, 40, 'tournament_selection', 'crossover_weight', 0.9293155905077055, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0994113431580943, -0.037945702717893305, 9167.565826535634],2.1833528383716074
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[41, 0.36694386694386694, 0.3236514522821577, 40, 'tournament_selection', 'crossover_weight', 0.9311741134181546, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0924413959938717, -0.0018452386883748284, 8836.277774125367],2.2034691030228957
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[42, 0.36694386694386694, 0.3236514522821577, 40, 'tournament_selection', 'crossover_weight', 0.9334091952073438, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0846089491262076, -0.0013668245372367022, 9396.472005313972],2.2223021355470185
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[43, 0.36694386694386694, 0.3236514522821577, 40, 'tournament_selection', 'crossover_weight', 0.9355018343945781, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0778153248689324, -0.0030411618711941035, 10070.16826028019],2.240042923142794
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[44, 0.37525987525987525, 0.31950207468879666, 40, 'tournament_selection', 'crossover_weight', 0.9350648254204854, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0791420590431366, 0.0037473100717380914, 10700.929599867133],2.2489709024459876
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[45, 0.37525987525987525, 0.31950207468879666, 40, 'tournament_selection', 'crossover_weight', 0.9321437237054336, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0881319333164414, 0.024677402605692414, 10569.206765089064],2.2631644112027787
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[46, 0.37525987525987525, 0.31950207468879666, 40, 'tournament_selection', 'crossover_weight', 0.9279868620161912, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1022037751101783, -0.02642198029752424, 9688.731027993232],2.2697432552465044
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[47, 0.3762993762993763, 0.3153526970954357, 40, 'tournament_selection', 'crossover_weight', 0.9263474137860938, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.10866039760421, 0.04307525268141784, 8435.773679407252],2.2975710736380117
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[48, 0.3762993762993763, 0.3153526970954357, 40, 'tournament_selection', 'crossover_weight', 0.9263121137859229, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1088089348099583, -0.019455662736798898, 7941.612732738599],2.3137787815082853
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[49, 0.3762993762993763, 0.3153526970954357, 40, 'tournament_selection', 'crossover_weight', 0.9281676622081395, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1009895376825907, 0.03263522032551332, 7930.972639821008],2.328868111937904
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[50, 0.3762993762993763, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.9284356003674635, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0999422476803822, -0.06190698639945949, 8490.270303558515],2.3557717567330076
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[51, 0.3783783783783784, 0.3112033195020747, 40, 'tournament_selection', 'crossover_weight', 0.9285854983068211, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0993624143932035, 0.050482263815437564, 8571.031972045212],2.374573141011221
