<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[28, 0.32744282744282743, 0.29045643153526973, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.1640527909026541, 1.01, 7.664776690070874e-05, 11463.365353771209],1.9127579979502614
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[29, 0.32744282744282743, 0.29045643153526973, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.16569331881168065, 1.01, 0.0015565986591682401, 10207.234810138858],1.9335245403702659
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[30, 0.32744282744282743, 0.3236514522821577, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.16735025199979744, 1.01, -5.593430117460663e-06, 9634.92647314437],1.9512727627490607
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[31, 0.32744282744282743, 0.3112033195020747, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.16902375451979543, 1.01, 0.001455488076043017, 9982.604978735906],1.970315006594111
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[32, 0.33783783783783783, 0.3112033195020747, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.17071399206499338, 1.01, -0.0030092446269766177, 10726.331574722408],1.984349487289203
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[33, 0.33783783783783783, 0.3112033195020747, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.17242113198564332, 1.01, -0.004216493746432563, 10392.465122399464],2.0110381706632707
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[34, 0.3659043659043659, 0.36929460580912865, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.17414534330549974, 1.01, 0.0040638827596296, 10198.533369330158],2.0379422451418003
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[35, 0.3659043659043659, 0.35269709543568467, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.17588679673855476, 1.01, 0.0075905458224202055, 10138.24200228273],2.061568405402073
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[36, 0.3700623700623701, 0.35269709543568467, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.17764566470594031, 1.01, -0.0073420338501683224, 10125.532139398021],2.0953341385249367
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[37, 0.3918918918918919, 0.3817427385892116, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.17942212135299973, 1.01, -3.7149176696525676e-05, 9038.268798968149],2.117132212540129
