<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[47, 0.3711018711018711, 0.3651452282157676, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.011319587112904712, 6839.737021169403],2.2922858947836438
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[48, 0.3711018711018711, 0.3651452282157676, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.01643099753718233, 7297.189191391736],2.3217165645045776
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[49, 0.41476091476091476, 0.4149377593360996, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.003193438421797812, 7948.062440176556],2.3317184888016307
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[50, 0.4230769230769231, 0.4190871369294606, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.0009694887395515217, 8225.704634746811],2.3550930385951063
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[51, 0.4230769230769231, 0.4190871369294606, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.006821767050622103, 8038.681804708266],2.384351710210016
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[52, 0.4230769230769231, 0.4190871369294606, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.000611509893464493, 7903.914312713491],2.4043984978604085
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[53, 0.4230769230769231, 0.4190871369294606, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.0015707177704983866, 7895.981726925331],2.4227562909091125
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[54, 0.4230769230769231, 0.4190871369294606, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.0015614759098972822, 7711.134655070238],2.4502808329512664
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[55, 0.4230769230769231, 0.4190871369294606, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.01241400389675859, 8361.477965244945],2.4752863417894395
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[56, 0.4230769230769231, 0.4190871369294606, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.0035695654402774016, 8797.382071098467],2.4909883578494534
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[57, 0.4230769230769231, 0.4190871369294606, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.005631590171883617, 8752.21924956781],2.506493015348388
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[58, 0.4230769230769231, 0.4190871369294606, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.004405263561785666, 8751.249334993558],2.526982264515935
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[59, 0.4230769230769231, 0.4190871369294606, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.0033542092067506968, 8260.128382149449],2.5434803958867507
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[60, 0.4230769230769231, 0.4190871369294606, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.004849268213604478, 8307.605635429407],2.5660912033553056
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[61, 0.4230769230769231, 0.4190871369294606, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.006466521011087842, 7921.847022766288],2.5772498885662283
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[62, 0.4230769230769231, 0.4190871369294606, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.0038530718690030705, 7452.949062730193],2.59141023605896
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[63, 0.43451143451143454, 0.42323651452282157, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.006827772841816411, 7276.256220839319],2.6042003655170767
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[64, 0.43451143451143454, 0.42323651452282157, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.0053677721598659675, 7229.434124558788],2.618344238444841
