<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[27, 0.32224532224532226, 0.3278008298755187, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.0019522591551917878, 9742.975368843167],1.8087513302212166
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[28, 0.3367983367983368, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.0008199728419999927, 10284.887037725039],1.8302453535713175
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[29, 0.3367983367983368, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.0007262704595150174, 9744.3659789761],1.859162857010344
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[30, 0.3367983367983368, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.03616340993864913, 9590.255635366997],1.8775130888063056
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[31, 0.3367983367983368, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.010110914779376486, 9062.089211061091],1.8964125946369508
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[32, 0.3367983367983368, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.0019312721771467395, 8837.30078911583],1.9169751803927848
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[33, 0.3367983367983368, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.005702461014329245, 9162.214767819245],1.9303446159978832
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[34, 0.3367983367983368, 0.34854771784232363, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.020953129337538443, 8966.892777536608],1.9464322955132047
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[35, 0.3482328482328482, 0.3112033195020747, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.008848608295594078, 8502.91083709881],1.9638675215801515
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[36, 0.3482328482328482, 0.3360995850622407, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.005265756806646316, 8373.71999392472],2.0029728647518192
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[37, 0.3627858627858628, 0.34854771784232363, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.020830587173297943, 8942.957754721703],2.0293704178285332
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[38, 0.3627858627858628, 0.34854771784232363, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.00473793274589631, 8819.855291018637],2.0465026772381543
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[39, 0.38253638253638256, 0.4107883817427386, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.0026975090028800094, 8636.208720281977],2.0708641178699585
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[40, 0.38253638253638256, 0.4107883817427386, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.0056200658061454425, 8467.147545221536],2.0876756721277765
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[41, 0.3866943866943867, 0.3941908713692946, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.00650783280897467, 8439.840585589995],2.106478496207323
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[42, 0.39604989604989604, 0.4190871369294606, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.011123740431729513, 7905.200752388022],2.1141640812822677
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[43, 0.3991683991683992, 0.38589211618257263, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.0015325415377758708, 7970.799621513823],2.133127212674445
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[44, 0.40540540540540543, 0.3941908713692946, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.002113484169884765, 7707.2375872051325],2.1641623067863436
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[45, 0.40540540540540543, 0.3941908713692946, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.029862528463515052, 7073.18694699733],2.1930539273699923
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[46, 0.40540540540540543, 0.3941908713692946, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.01723962298042213, 7785.351505918676],2.2205426535195834
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[47, 0.42203742203742206, 0.42738589211618255, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.001884062862602058, 8335.539730649889],2.241393947953353
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[48, 0.42203742203742206, 0.42738589211618255, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.0007187177622534277, 8427.328046163728],2.263249553164837
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[49, 0.42203742203742206, 0.42738589211618255, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.03738519142113991, 8248.040068358685],2.2968294899872936
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[50, 0.4313929313929314, 0.44398340248962653, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.015871029347004947, 7960.094263607553],2.3045127179358866
